,question,answer
14193,یک خط از نوشته,سطر
14194,کاستی,نقصان
14195,بسیار چاق و فربه,تلان
14197,پیشی گرفتن,سباق
14198,از گل های معطر دارویی,بیدمشک
14199,ساختن,احداث
14200,سود و فایده,ربح
14201,مالامال و لبریز,پر
14203,قفل لباس,قزن
14204,بوته گل,گلبن
14205,زهر و شوکران,شرنگ
14206,غذای زندانیان,رواه
14207,انکار کردن,جحد
14210,فاضل و دانشمند,فرجاد
14211,محل عبور,مسیر
14213,معادل فارسی هود,هوابر
14214,خودکار معروف,بیک
14216,باطل کردن,فسخ
14217,نشان ممیز,اسلش
14218,جایگزین عبارت فن آوری اطلاعات و ارتباطات,فاوا
14219,شیرینی میوه ای,تارت
14221,گروه سواران و پیادگان,موکب
14222,نوعی ساز,دف
14224,معاینه,ویزیت
14225,رنجور و دردمند,رنجمند
14227,حمایت مالی از کسی,ساپورت
14228,اسیر,گرفتار
14230,بلدرچین,وشم
14233,محفظه حروف سربی در چاپخانه,گارسه
14234,نام دیگر بلدرچین,وتیج
14235,ماما,قابله
14236,اتحادیه فوتبال اروپا,یوفا
14238,سوراخ و رخنه,ثقب
14239,تیزهوش,فراس
14240,درون چیزی,متن
14241,سرباز تکاور,رنجر
14242,غرش ابر,بختو
14243,رفیق مشهدی,یره
14246,خرس فلکی,دب
14247,سازنده بهشت خیالی,شداد
14248,استانی در عراق,اربیل
14249,ذلیل و خوار,محقر
14250,کنایه از تمام و کمال,دربست
14252,چانه و ذقن,زنخ
14253,از بلایای طبیعی,سیل
14254,سوی چشم,دید
14255,شهری در روسیه,کونگور
14256,نهانی دزدیدن,کش رفتن
14257,سرایت,واگیر
14258,پیشی گرفتن,تبادر
14259,نوعی کفش پاشنه دار قدیمی,ارسی
14260,وسیله ای برای بالا رفتن,نردبان
14261,تصدیق روسی,دا
14265,والده,مادر
14266,میوه نکو,به
14267,آذرخش مصنوعی عکاسی,فلاش
14269,خط نابینایان,بریل
14270,حیوان مفید,گاو
14274,نماینده,وکیل
14275,اتمسفر و جو,هوا
14277,از خودروهای ملی ایران,سمند
14279,فرهنگستان,آکادمی
14281,بت خانه و فرخار,بتکده
14284,نور ماه,مهتاب
14285,بی حرکت و آهسته,آرام
14286,پرنعمت و پرحاصل,بابرکت
14287,مزه خرمالو,گس
14289,کیف سفر,ساک
14293,آرزوها,آمال
14294,زلف پر پیچ و خم بالای پیشانی,کسمه
14295,کفن دزد,نباش
14296,گروهی و دسته جمعی,تیمی
14298,پیت نفت,گالن
14300,پدال دوچرخه,رکاب
14301,از حروف الفبا,دال
14302,نیلوفر آبی,ابو
14303,سبزی خوشبو,پونه
14305,برش کنگره ای,دالبر
14306,خیالات و پندارها,اوهام
14308,گفتگوی تلفنی,مکالمه
14309,نام عمومی گروهی از آبزیان,سرپایان
14315,همکاری,تعاون
14320,ناپاک شرعی,نجس
14323,زین ساز,سراج
14324,جانوری درنده,پلنگ
14329,حساب,شمار
14333,نام قدیم تایلند,سیام
14334,کنایه از داشتن آرزوهای بزرگ,بلند پروازی
14336,نخاله کنجد,کنجاله
14338,شمعک,پیلوت
14340,شیرین تر از فرزند,نوه
14342,کنایه از مدت‌طولانی,یک عمر
14343,اندیشه,سگالش
14346,سخن پنهانی,سر
14349,همایش اینترنتی,وبینار
14350,از همسران حضرت ابراهیم(ع),سارا
14351,کسی که تحمل سختی ها را ندارد,نازک نارنجی
14360,پایتخت سریلانکا,کلمبو
14362,از جاده‌های معروف شمال ایران,هراز
14364,مرکز استان خوزستان,اهواز
14367,غذای بندرعباس,هواری
14368,فیلمی از امیر قویدل,دلنمک
14371,درس دیکته,املا
14374,نوعی جست و خیز با گام های بلند به هنگام راه رفتن,شلنگ
14376,از آثار تاریخی استان زنجان,گاورتپه
14377,از صنایع دستی,شمدبافی
14380,از علوم خفیه,لیمیا
14382,ناپسند داشتن,اکراه
14385,از اندامک های درون یاخته جانوران,لیزوزوم
14386,مقدس و پاک,اشو
14387,مجلس روسیه,دوما
14388,هواپیمایی جاسوسی آمریکا,آواکس
14390,رود پرآب اروپا,دانوب
14391,عنوان امپراتوران رومی,سزار
14395,آزادگی,حریت
14396,بر روی‌ اتومبیل نصب می‌کنند,باربند
14398,از کشورهای آسیایی به پایتختی هانوی,ویتنام
14400,وسیله‌اى براى پرواز,کایت
14401,به دست آوردن,کسب
14403,زیر پای راننده‌ است,پدال
14405,نیک ‌دریابنده,دراک
14406,نازک نارنجى,زودرنج
14407,صدای درد,اوخ
14408,جذر عدد شانزده,چهار
14410,آمرزش خواه,مستغفر
14412,بی‌مثل و بی‌نظیر,ناهمتا
14413,رنگی از خانواده‌ سبز,یشمی
14414,یک کلمه را تشکیل می‌دهند,حروف
14419,نوازش شده,نواخته
14420,صدای ساعت,تیک تاک
14424,از شهرهای استان‌ قزوین,بوئین زهرا
14428,یکی پس از دیگری,پی در پی
14429,عمده ‌فروش,بنکدار
14432,علم ستاره‌ شناسی,نجوم
14434,جنایتکار,جانی
14435,پروتئینی که باکتریها در بدن انسان می سازند,آنتی کور
14439,در دوات می‌اندازند,لیقه
14441,بازی کردن,لعب
14442,آگهی,اعلان
14446,سم خورده,مسموم
14449,زیردست,مادون
14451,سرمای شدید,سوز
14458,با حیا,آزرمگین
14459,طبقه بندی,کلاسمان
14460,تازه راه افتاده,نوپا
14462,مرکز ایالت آلاسکا,جونیو
14465,پاکیزه و مقدس,منزه
14477,جشنواره,فستیوال
14482,واحد شمارش پارچه,قواره
14486,بسیار کوتاه قد,یک وجبی
14487,دلجویی,نوازش
14494,کشوری آفریقایی,لیبریا
14496,مقام مدال برنز,سوم
14500,جمع جایزه,جوایز
14502,دو نفر که به یک زبان صحبت کنند,هم زبان
14505,چاپلوسی,لوسانه
14506,بدکار,شرور
14510,از قبائل عصر جاهلیت اعراب,اوس
14511,دورنگ,ابلق
14515,ظرف حصیری,سبد
14524,رشته‌کوه مغولستان,سایان
14525,گند گیاه,بدران
14526,کسی که فرمان می‌برد,امربر
14532,عید حاجیان,قربان
14536,زنده کننده,محیی
14540,سرود و نغمه,ترانه
14541,جامه و عبا,حله
14542,پنهان داشتن,کتم
14544,از گیاهان دارویی,بادرشبو
14545,بیهوش,شمند
14547,گوسفند قربانی,هدی
14549,پایتخت گابن,لیبرویل
14552,پیامبر مسیح,عیسی
14553,در اسفناج فراوان است,آهن
14555,قوم وحشی,بربر
14557,لقبی برای مجتهدان مسلمان,آیت الله
14560,شمردن,حسب
14561,نوعی سس تند,سالسا
14562,جمع بعد,ابعاد
14564,آن که فقط به ظواهر امر توجه دارد,ظاهربین
14566,آرامگاه,مقبره
14568,مزه اسیدی,ترش
14569,بازگردانیدن,ارجاع
14571,ناز و غمزه,کرشمه
14573,بلندی مقام و مرتبه,علا
14574,تشعشع و پرتوافشانی,تابندگی
14576,قطعه موسیقی که از توالی چند صوت تشکیل شده و خوش‌آهنگ باشد,ملودی
14577,آش شلغم,لفتیه
14579,پارچه داخلی لباس,آستر
14580,فیلمی با بازی جانی دپ,از جهنم
14581,دستیار,معاون
14585,لوبیا,دجر
14586,از رهبران آزادی هند,نهرو
14588,زردآلو,مشمش
14589,نادر و کمیاب,شاذ
14590,مثل و مانند,تا
14591,پیشه و صنعت,هنر
14592,امر به انداختن,انداز
14593,ماهیت و ذات,هویت
14594,نام هشت تن از پادشاهان انگلیس,هنری
14596,لطیف و ملایم,نرم
14598,مادر,مام
14599,نشانه ها,آیات
14600,فعلی و کنونی,حالی
14601,کارآگاه دنبالش است,سرنخ
14603,مجسمه ساز آلمانی,شادو
14606,عدد مهاجم فوتبال,یازده
14607,شوفر,راننده
14609,از زنان پیامبر(ص),ام سلمه
14610,مرد جنگجو,سلحشور
14611,خجسته و مبارک,سعد
14612,نفرین و لعنت,شنه
14613,دیوار گلی,لاد
14615,پادشاه عصر حضرت ابراهیم,نمرود
14616,رهبر حزب کمونیست,لنین
14617,رگ های بازو,رواهش
14618,رنگی از خانواده سبز,یشمی
14620,امر به نبردن,نبر
14621,آتشفشان ایتالیا,آتنا
14623,زره و خفتان,جوشن
14624,وارد شدن شب,امسا
14625,رنگ نفرت,زرد
14626,اسب سیاه,ادهم
14629,گلبانگ نماز,اذان
14630,گونه ها,انواع
14631,از اعداد دو رقمی,هفده
14632,ماده محترقه,زرنیخ
14634,پردیس و بهشت,جنت
14636,وقت و هنگام,لدی
14637,از شرکت های خودروسازی بریتانیایی,مورگان
14638,هم عهد و هم پیمان,متعاهد
14639,نحس و شوم,نامبارک
14641,قدرت و توان,تاو
14651,خواهان,طالب
14654,عمومی‌تر,اعم
14659,از مواد منفجره,نیتروگلیسیرین
14660,عموی حضرت ابراهیم(ع),آزر
14661,ساحل دریا,کرانه
14663,رسانه همگانى,مدیا
14667,دیدار,طلعت
14668,گشادگی,اتساع
14674,نوعی کوکو,کوکوی سیب زمینی
14676,اسیران و گرفتاران,اسرا
14677,پدید آورنده یک کتاب,مولف
14680,ترانه خواب,لالایی
14681,ناسپاسی و ناشکری,کفران
14682,مجلس اعیان,سنا
14683,جایزه معتبر سینمایی,اسکار
14685,در مثل به نوبت است,آسیاب
14686,پیوسته و همیشه,همواره
14687,سنگ ریزه,شن
14688,دنج و ساکت,آرام
14689,شعبه ای از نژاد سفید,آریا
14690,نفع و سود,بهره
14691,افسار و دهنه,لگام
14692,بخیل و خسیس,ممسک
14693,بسیار بخشنده,وهاب
14694,باز ایستادن,توقف
14695,تکه ای آتش و اخگر,جمره
14697,اسب چالاک و سریع,راهوار
14698,ورشکستگی,افلاس
14699,ظرف مرکب,امه
14700,حاشا نمودن,انکار
14701,هنگام مرگ,اجل
14702,شکم روش,اسهال
14703,همگانی و عمومی,سراسری
14704,جوی خون,رگ
14705,رودی در آلمان,راین
14707,شب های قدر,احیا
14708,معروف و مشهور,بنام
14712,پنداری و شاید,گویی
14716,فرسوده و کهنه,نخ‌نما
14718,پدربزرگ و نیا,جد
14728,از حیوانات درنده,گرگ
14730,فیلمی از ‌مجید مجیدی,رنگ خدا
14731,نوعي سس شورمزه,سس سویا
14733,شهری در استان‌تهران,شمیرانات
14738,تيره اي از ايل قاجار,یوخاری باش
14743,معادل فارسی اکیپ,گروه مجهز
14745,باد منجيل,هفت باد
14746,صمیمیت,یکرنگی
14753,از آثار تاريخي قم,میل بابک
14760,باعرضه و شایسته,باکفایت
14764,نوعی ابرو,کمانی
14765,مساوى و برابر,یکسان
14769,امر به دویدن,بدو
14770,کلام ‌تصدیق فارسی,بلی
14772,سگ گزنده,هار
14779,از حجم های هندسی,منشور
14780,چست و چالاک,قبراق
14781,رودی در یونان,واردار
14784,برف و باد,کولاک
14785,صدای زنبور,وز
14786,جاذبه و کشش,ربایش
14788,اسرار,رموز
14790,از آفات گیاهی,شته
14791,سازگاری,وفق
14795,پروتئین گیاهی,سویا
14797,لیست,فهرست
14798,تلخ,مر
14799,اتاقکی در زیر عرشه کشتی,دبوسه
14801,دریایی در اروپا,سیاه
14802,رفیق ترکی,یولداش
14803,ابرار و خوبان,نیکان
14805,عامل حرکت ماشین,موتور
14806,پیشخدمت رستوران,گارسن
14807,بی تجربه و ناشی,ناآزموده
14810,بجا آوردن عهد و پیمان,وفا
14811,اردک فرنگی,داک
14813,روزی و معشیت,رزق
14817,جاری و رونده,روان
14818,سیستم گرمایشی قدیمی,کرسی
14819,زمین دور از آب,لیا
14820,ندانسته و غیرعمد,سهوا
14821,شاد و خرم,بشاش
14822,چاپارخانه امروزی,پست
14825,عسل و شهد,شرو
14827,دریاچه ای در استرالیا,ار
14828,تندخو,آتشی مزاج
14830,نظامی,ارتشی
14832,اثری از اسماعیل فصیح,خاک آشنا
14833,نوعى موتورسیکلت,تریل
14837,سپاس شیرین!,شکر
14839,زرنگ و باهوش,زیرک
14840,وسیع و پهن,گشاد
14842,اثري از فرخنده آقايي,راز کوچک
14844,برادر شیرازی,کاکا
14848,جسارت,جرات
14854,کنایه از ماه,اختر شب گرد
14855,جمع تجربه,تجارب
14856,گال,خارشک
14857,قله‌ای در دامغان,شاهدارکوه
14862,لقب دیگر امام زمان(عج),صالح
14864,نیاز به آب,تشنه
14866,گاز استخر,کلر
14869,بنگاه کسب و کار خرد,صنایع کوچک
14870,نوار ابریشمی,روبان
14871,از گل‌های خوشبو,یاسمن
14873,شیب حرارتی,گرادیان
14875,سست و بی‌حال,لش
14882,پرداختنی شرعی,زکات
14884,محفل,انجمن
14887,مورد اعتماد,معتمد
14888,شعر گفتن,تصنیف
14889,ستایش,مدح
14891,جوانمرد و بخشنده,لوطی
14895,انتقام جو,کینه توز
14896,اثر تاریخی مشهد مربوط به دوره صفویه,گنبد سبز
14897,به تملک درآوردن,استملاک
14899,پرخور,اکال
14900,از شهدای محراب,صدوقی
14902,از کشورهای آمریکای جنوبی,گویان
14903,پست شده,منحط
14904,بعد از اول,دوم
14905,پیرو ارزشهای کهنه,ارتجاعی
14908,بلند و دارای ارتفاع,مرتفع
14911,ستاره شناس,منجم
14912,کوهستانی در شمال غرب استان کرمانشاه,شاهو
14913,از شهرهای استان مازندران,نشتارود
14914,شاگرد,ادب آموز
14916,درشت نیست,ریز
14918,زورگو,قلدر
14924,قانونگذار,مقنن
14930,یکی از لوازم خانگی برای مخلوط کردن,همزن
14936,شهری در استان خوزستان,لالی
14939,شوریدگی ، آشفتگی,پریشانی
14940,الکتروتراپی,برق درمانی
14943,از مکان‌های دیدنی اراک,موزه مفاخر
14949,در پایین دیوار قرار دارد,قرنیز
14955,مستأجر,اجاره‌نشین
14956,ابداع گر فن انگشت نگاري,گالتن
14957,اقوام داراي خط,نویسا
14958,هدف‌گیری برای تیراندازی,نشانه گیری
14959,ارث,مرده ریگ
14962,کشتی ژاپنی,سومو
14967,واحد شمارش گوسفند,راس
14976,خزنده خانگی,مارمولک
14977,آلت نشانه روی‌ تفنگ,مگسک
14978,از عناصر رادیواکتیو,رادیوم
14979,شهر تفریحی ایتالیا,ریویرا
14980,آماده و فراهم,مهیا
14987,واگیر,مسری
14990,شهری در باختر هند,وراوال
14993,امتناع و سرپیچی,خودداری
14995,کوه,جبل
15000,ضمیر,باطن
15008,نام سوریه قدیم,شامات
15009,آخر هر کار,انجام
15012,معادل فارسی امیرالبحر,دریادار
15013,کنایه از این دنیا,خراب آباد
15015,جانور بیابانی,وحش
15018,خروشنده,دمان
15023,آشکار کردن,اجهار
15025,مقابل تأهل,تجرد
15027,جمع تدبیر,تدابیر
15030,پرتوسنج,رادیومتر
15032,تند و سریع,تیزپا
15033,هدیه‌ای به عروس خانم,رونما
15036,از فرشتگان شب اول قبر,منکر
15037,غم و غصه,کرب
15039,پسر کوچک فریدون,ایرج
15041,رسوب و درد,ته نشین
15045,پیدا کردن,یابیدن
15046,استان نزدیک ‌تهران,قم
15047,چپاول,غارت
15049,هموار,صاف
15050,ماکیان,دجاج
15052,از رنگ‌های هم‌خانواده قرمز,اناری
15053,ابرپاره های کوچک,رمایا
15055,ازمیقاتهای پنجگانه حج,یلملم
15056,سردی هوا,برودت
15057,کمی و کاستی,نقصان
15062,رنگ,فام
15066,بصیرت و آگاهی,دانایی
15069,دوباره صورت گرفتن کاری,تکرر
15070,بخت آزمایی,لاتاری
15072,دل انگیز,جالب
15073,جنگ شتر,جمل
15077,متقی و پرهیزکار,پارسا
15078,جمع دلیل,دلایل
15079,محل ذخیره کالا,انبار
15081,روشن کردن,افروختن
15084,ورزشی روی‌چمن,هاکی
15085,بادمجان,انب
15088,از حیوانات اهلی,اسب
15089,توقیف,بازداشت
15092,ازالقاب مبارک حضرت فاطمه(س),بتول
15095,شهر و استانی در ایتالیا,کالیاری
15096,ثلاثه مصر,اهرام
15097,جسور و نترس,بی باک
15098,یارو,فلانی
15099,بالا رفتن,ارتقا
15101,پایتخت کشور جمهوری کنگو,برازاویل
15103,کالبد,جسد
15107,پایتخت ژاپن,توکیو
15109,زن همنشین,ندیمه
15110,خودروی مسافربری,تاکسی
15111,دختر ترکی,قز
15112,اتاق درس,کلاس
15113,مبلغ مذهبی,میسیونر
15115,پشه,بق
15116,بندباز,آکروبات
15118,خوی و طبیعت,منش
15119,موسسه,انستیتو
15120,افسار,مهار
15122,شهر مذهبی,قم
15124,از روی هوشیاری,زیرکانه
15125,طعنه زن پیاز,سیر
15127,واحد مسافت,کیلومتر
15129,فرزندان,بنی
15130,متراکم,انباشته
15131,دزدی,سرقت
15132,از درختان,ون
15133,لیف ظرفشویی,اسکاچ
15135,نوعی نوارچسب صنعتی,تفلون
15138,سرد کردن,تبرید
15144,بیمار بودن,ناخوشی
15145,هر چیز آمیخته شده با طلا,زراندود
15146,بد و زشت,ناپسند
15152,فراموشی,نسیان
15156,نقطه دار,منقوط
15157,جامه ها,البسه
15158,ورقه معرف مشخصات کالا,اتیکت
15160,فضاپیما,سفینه
15161,گل همیشه بهار,آبرون
15164,دندان دور ریختنی,لق
15168,حلقه,چنبر
15169,افزایش ابعاد جسم بر اثر گرما,انبساط
15170,شغل شوفر,رانندگی
15171,اتفاق و حادثه,رویداد
15172,بلندمرتبه,والا
15175,نی میان ‌تهی,نال
15177,واحدی در صدا و سیما,نودال
15179,لباس,تنپوش
15180,چرب‌زبان و ریاکار,سالوس
15181,ساکنان یک محل,اهالی
15182,کلمه ای برای تأکید,البته
15183,نوعی عایق ضدرطوبت,ایزوگام
15187,نوعی ژانر فیلم,اکشن
15190,پافشاری نمودن,ابرام
15191,آستانه,درگاه
15197,کیسه چرمی,انبان
15198,بخشندگان,اسخیا
15199,حجم فرعونی!,هرم
15204,از حیوانات جنگلی,گوزن
15206,تنها,انفرادی
15207,نوعی بیماری واگیردار,سیاه زخم
15210,طفیلی و باعث زحمت,سربار
15212,گدازه آتش‌فشانی,ماگما
15215,آرشیو,بایگانی
15217,پینه پوست,کبره
15218,باران تند,رگبار
15220,زاینده آتش,آتش‌زا
15221,جایگاه,ماوا
15222,مورد علاقه کودکان,بازی
15224,ملون,رنگارنگ
15225,شعری از نیما یوشیج,ماخاولا
15229,ستوده شده,محمد
15230,همنشین تار,پود
15232,رنج و محنت,آدرنگ
15233,یک بیماری آفریقایی,ابولا
15234,در فیزیک کمیت برداری است که باعث شتاب گرفتن اجسام می‌شود,نیرو
15236,خلیجی در شمال لیبی,سیدرا
15239,ساختمان سازی,بنایی
15243,ارابه و چهارچرخه,گاری
15249,پرجمعیت ترین شهر در ایالت نوادا واقع در ایالات متحده آمریکا,لاسوگاس
15252,از امراض سوءتغذیه,پلاگر
15254,قضاوت,داوری
15257,فیلمی به نویسندگی و کارگردانی مسعود جعفری جوزانی,دل و دشنه
15262,سوره ۳۱ از قرآن است و ۳۴ آیه دارد,لقمان
15265,محل نگه‌داری آوارگان و اسرای جنگی,اردوگاه
15267,یک روش برای پخت و پز غذا به شمار می رود,بخارپزی
15272,بخشیدن گناه,آمرزش
15278,پرنده شبیه مرغابی,غاز
15281,گوشه ورزشی,کرنر
15284,پرده دری,هتاکی
15285,وسط,مابین
15287,جاده شن ریزی شده,شوسه
15291,مقابل پایین,بالا
15292,اثری از ساناز فرجی,غوغای همیشه
15293,از شهرهای استان گیلان,خمام
15294,صلح و آشتی,مسالمت
15296,بزرگترین سرخرگ‌بدن,آئورت
15300,پنبه نسوز,آزبست
15301,مشورت,کنکاش
15309,فیلمی از مسعود جعفری جوزانی,یک مرد یک خرس
15313,رنگ قرمز,سرخ
15314,به هیچ وجه,ابدا
15319,مهار شتر,زمام
15321,کل و همگی,تمامی
15324,چاه فاضلاب,آبریز
15331,نام دیگر این بیماری پژواک گویی است,اکولالی
15333,کشوري در آفريقا,زامبیا
15334,میل داشتن,رغبت
15335,نوعی‌ سندرم,متابولیک
15336,کشیدنی بیمار!,درد
15340,مکانیزه کردن,اتوماسیون
15343,سرحد کشورها,مرز
15345,پایتخت برزیل,برازیلیا
15347,از نام‌هاي قديمي استانبول در زبان فارسي,تخت روم
15348,نوعی حکومت,جمهوری
15349,خوش سیما,ماهرخ
15350,کم تحمل,بیتاب
15354,مقابل گذشته,آینده
15356,عظمت و بزرگی,کبریا
15358,سیم ضخیم,کابل
15360,حیران و مبهوت,مات
15361,بی سرو پا,لات
15363,درخت لرزان,بید
15365,واحد گل و گیاه,بوته
15366,یک عامیانه,یه
15367,بزرگترین کشور جهان,روسیه
15368,دست,ید
15369,قبایل و طوایف,عشایر
15370,آواز جغد,رکا
15373,پولی که در بهای آب می دهند,آب بها
15374,جوجه تیغی,راورا
15375,اموال باقی مانده از مرده,ماترک
15376,مخلص و صادق,بی ریا
15377,نجیب زاده قرون وسطی,شوالیه
15379,تباه شده,هدر
15380,جابجایی هوا,باد
15381,تازی,عرب
15382,نوعی موسیقی کلامی,رپ
15385,ویران و نابسامان,خراب
15386,نغمه و نوا,آوا
15387,محل شیرین کاری حیوانات,سیرک
15388,صدمه و گزند,آسیب
15389,پدر بزرگ,نیا
15391,شب اول زمستان,یلدا
15392,ایلی از ترک,ابه
15395,فهرست اشتها آور,منو
15396,پارچه کهنه,رکو
15398,جنس تایر,لاستیک
15399,پارچه ضخیم ضد آب,برزنت
15400,تحفه ها,هدایا
15403,همان دارو است,دوا
15404,روادید,ویزا
15408,اشغالگر,متصرف
15409,بی طالع و بدبخت,سگار
15411,آلبومی از مرحوم محمدرضا شجریان,یاد ایام
15414,قسمت‌های کوچکتر نای,نایژه
15418,از توابع نوشهر,کجور
15421,از شهرهای ترکیه,آنتالیا
15423,پاداش عمل,سزا
15424,تخت پادشاهی,سریر
15425,نوعی پارچه مرغوب,گاباردین
15430,سوق الجیشی,استراتژیک
15434,استوار و محکم,جزل
15435,شهرت خسرو اول پادشاه ساسانی,نوشیروان
15436,غیر جدی,شوخی
15438,حاکم کل,فرما نفرما
15440,فریادرس,غیاث
15441,شکوفه کردن درخت,اناره
15442,خودداری,ابا
15443,خال,تیل
15445,شش ضلعی,مسدس
15447,شاه بزرگ هند,مهاراجه
15449,مقابل پشتک,وارو
15450,نادانی و کم خردی,بلاهت
15451,گردن,عنق
15452,خاطر,یاد
15454,تمدن باستانی,سومر
15455,کوهان شتر,سنام
15458,خیلی سریع,آنی
15459,شاگرد استاد,میلاو
15460,تاریخ,سالمه
15461,همسر حوا,آدم
15463,از شهرهای استان مرکزی,ساوه
15464,آمیخته با آب,هیدراته
15465,دست چپ,یسار
15466,تپانچه,تس
15468,گرسنه,جوعان
15469,عنوان تعدادی از پاشایان ترک,آبازه
15470,شهر مازندران,نکا
15471,روشن و فروزان,ثاقب
15472,نازا,عقیم
15475,پست الکترونیکی,ایمیل
15478,تطهیر,شستشو
15481,ضعف و سستی,وهن
15482,دانه نهانزایان,هاگ
15483,همدستی,انبازی
15484,معتاد به مواد مخدر,عملی
15487,مستقیم,سرراست
15489,دشنام دادن,شتم
15490,از اجسام معدنی,زاج
15492,آپارتمان کوچک و مجهز,سوئیت
15494,سمینار,همایش
15495,نوعی کرم,شبتاب
15496,نابود کردن,اهلاک
15498,خباز,نانوا
15500,سرگشته و سرگردان,ویلان
15501,ترس و بیم,واهمه
15503,بنیادها,مبانی
15508,رحمت,دلسوزی
15509,ساز چهار تار,شوشک
15510,فقیری,تهی دستی
15512,نوعی سوپ,ورمیشل
15513,زر خالص,ساو
15517,محرم اسرار,همراز
15519,پیوستن,اتصال
15520,سفره رنگین‌کن,سالاد
15521,عبودیت,بندگی
15522,امتحان و آزمون,تجربه
15523,بزرگتر بودن,ارشدیت
15530,افزودن,اضافه
15531,از مهم‌ترین غلات,گندم
15535,شجاع,دلیر
15536,چکش سنگین,پتک
15542,همان اهرم است,بیرم
15543,روستا,آبادی
15550,خورش‌ ترش و شیرین,فسنجان
15551,ساکن و بی‌حرکت,ایستا
15552,فرمانروای بردگان,اسپارتاکوس
15554,بریدگی و پراکندگی,گسستگی
15555,ناپدید شده,برطرف
15556,سهولت,آسانی
15561,چیزهای مخالف و مغایر یکدیگر,اضداد
15567,تخت و سریر,اریکه
15568,تمجید,تعریف
15569,حداقل در ریاضی,مینیمم
15570,همدستان,شرکا
15571,از بازیگران خانم سریال هم‌گناه,هدیه تهرانی
15578,شهر و بندری در جنوب فرانسه,مارسی
15579,از کوه‌های شهر توکیو,میتاکه
15580,گمراه کننده,مضل
15582,پایتخت استرالیا,کانبرا
15588,این ساز جز سازهای بادی چوبی دو زبانه است.,کرانگله
15590,متخصص ‌فنی‌خودرو,مکانیک
15591,معادل فارسی پاراف,پیش امضا
15593,ایالتی در آمریکا,مریلند
15595,دو برابر صد,دویست
15598,از پرندگان,یاکریم
15600,مسن و بزرگسال,کلان سال
15601,شبیه به هم بودن,مشابهت
15602,میوه هندی,انبه
15604,آهوی بسیار زیبا,مارال
15605,همیشه و دائم,مدام
15611,دسته و صنف,جنس
15613,وسیله ای ورزشی شبیه خنجر با سه تیغه,سای
15615,غیر هموار,ناصاف
15616,یخ,هسر
15617,عریان,لخت
15618,زیلوباف در زبان عامیانه,لباف
15620,گیاهی پر خار,یز
15621,جانشین,وصی
15622,میوه ترش و شیرین,لیمو
15623,نخست وزیر انگلستان در جنگ جهانی دوم,چرچیل
15624,اسارت و گرفتاری,اسیری
15626,شمشیر به ترکی,قلیچ
15627,بدطینت و بدذات,بدجنس
15630,یکصدم متر,سانت
15634,دولا شده,خم
15635,فاخته,صلصل
15636,غیر منطقی,ناحسابی
15637,راه و روش,مسلک
15638,نت چهارم,فا
15642,مخفف گاه گاه,گه گه
15644,از اصوات همدردی,اخی
15645,پیاپی و پیوسته,مستمر
15646,درخشان و تابان,لامع
15648,سرچسب بهادار گمرکی,باندرول
15649,موی پیچیده و تابدار,جعد
15650,قلاب پشت در,چفت
15651,از روی حماقت,ابلهانه
15652,تکرار حرف,هه
15655,دنباله و نتیجه,عقبه
15658,از حروف الفبا,میم
15659,طریق کوتاه,ره
15661,کوهی در ژاپن,اسو
15665,گل همیشه بهار,رابو
15667,بخشی از مال که به مستمند و درویش دهند,زکات
15668,هزینه درس خواندن,شهریه
15671,گرفتن کمر و زدن ضربه به بازو,کلید کشی
15672,مکر و حیله,کید
15673,رقیب زن,هوو
15674,فیلمی از رضاعطاران,رد کارپت
15675,عنوان جانوران پستاندار در گویش عوام,بچه‌زا
15676,گردونه چهارچرخ,درشکه
15677,ادا و اطوار,افه
15678,کوچکترین واحد زبان گفتاری,هجا
15681,دشمن و خصم,عدو
15682,نوعی ضربه پا در سر در تکواندو,نریو
15683,عنوان مردانه,آقا
15689,هم آهنگ,همساز
15690,محکم کردن,شد
15693,نگهبان و مراقب,کشیک
15694,دوشنده شیر,هاشم
15696,جفاپیشه,جافی
15697,مساوی شطرنج,پات
15700,رُفتن و جارو کردن,روب
15701,دری که خوب بسته شده باشد,کیپ
15702,روستا و قریه,دهکده
15704,جد و نیا,پدربزرگ
15709,بزرگی,سروری
15710,از صور فلکی,دب اکبر
15713,صاحب اندیشه,خردمند
15717,اعضای هیئت ‌دولت,وزرا
15719,جای سوگواری,ماتمکده
15720,نوعی زیرانداز,پلاس
15722,کسی که کارش نوشتن حساب‌ها یا ثبت نامه‌ها در دفتر است,دفتردار
15724,لِه کردن,کوبیدن
15726,آلوی مخصوص غذا,بخارا
15730,یک چهارم,ربع
15731,هر چه باید بشود می شود,باداباد
15732,از شهرهای پرتغال,گیمارس
15734,یکی از برندگان  جایزه نوبل فیزیولوژی و پزشکی در سال 2006 میلادی,کریگملو
15735,کیف سفری,ساک
15737,دندانه کلید,اسبک
15743,ظاهری,صوری
15745,از اشکال هندسی,هرم
15746,جانشین دکمه,زیپ
15748,دختر سر و زبان دار,دردو
15749,ایزدبانوی خرد یونان,آتنه
15752,برق زننده,بارقه
15758,بازار بی‌رونق,کساد
15759,رمان پرفروش هوشنگ مرادی کرمانی,قصه های مجید
15761,دریاچه ای در آلمان,موریتس
15763,متصل و پیوسته,یکبند
15767,واحد مقیاس گرما,کالری
